DATE,PPIACO
2000-07-01,-0.89720
2000-08-01,-7.20182
2000-09-01,16.14374
2000-10-01,6.21993
2000-11-01,-3.55030
2000-12-01,10.61954
2001-01-01,33.02163
2001-02-01,-22.49525
2001-03-01,-13.17247
2001-04-01,4.40691
2001-05-01,3.51391
2001-06-01,-11.45804
2001-07-01,-18.74341
2001-08-01,0.00000
2001-09-01,-0.89989
2001-10-01,-27.31529
2001-11-01,-4.61362
2001-12-01,-15.82031
2002-01-01,3.74123
2002-02-01,-0.93422
2002-03-01,13.01330
2002-04-01,9.20956
2002-05-01,0.00000
2002-06-01,0.91708
2002-07-01,2.74704
2002-08-01,2.74077
2002-09-01,7.27826
2002-10-01,8.13562
2002-11-01,-0.90124
2002-12-01,-1.80451
2003-01-01,21.47708
2003-02-01,20.22767
2003-03-01,30.99168
2003-04-01,-37.98878
2003-05-01,-0.87751
2003-06-01,11.35793
2003-07-01,-2.61154
2003-08-01,2.61154
2003-09-01,4.33997
2003-10-01,6.91147
2003-11-01,-3.45076
2003-12-01,5.17242
2004-01-01,16.23378
2004-02-01,5.92594
2004-03-01,8.41518
2004-04-01,14.17175
2004-05-01,16.46116
2004-06-01,3.26531
2004-07-01,1.62933
2004-08-01,4.87475
2004-09-01,-2.43490
2004-10-01,18.54253
2004-11-01,11.14806
2004-12-01,-9.54912
2005-01-01,5.57955
2005-02-01,5.55373
2005-03-01,16.50861
2005-04-01,10.10696
2005-05-01,-5.43163
2005-06-01,0.00000
2005-07-01,15.45417
2005-08-01,9.93953
2005-09-01,34.52396
2005-10-01,29.23409
2005-11-01,-18.18768
2005-12-01,-5.14234
2006-01-01,9.53259
2006-02-01,-18.39962
2006-03-01,2.96296
2006-04-01,15.43666
2006-05-01,10.90586
2006-06-01,2.16933
2006-07-01,5.04657
2006-08-01,7.88769
2006-09-01,-18.00214
2006-10-01,-23.44397
2006-11-01,17.62578
2006-12-01,7.26834
2007-01-01,-11.65058
2007-02-01,20.31487
2007-03-01,17.85216
2007-04-01,14.79326
2007-05-01,13.22903
2007-06-01,3.45722
2007-07-01,8.94243
2007-08-01,-18.64786
2007-09-01,7.63229
2007-10-01,8.27114
2007-11-01,29.17871
2007-12-01,-2.68456
