DATE,CPIAUCSL
2009-11-01,4.01160
2009-12-01,0.62405
2010-01-01,0.77823
2010-02-01,-1.14268
2010-03-01,0.39758
2010-04-01,0.27602
2010-05-01,-0.62389
2010-06-01,-0.50266
2010-07-01,2.24101
2010-08-01,1.75236
2010-09-01,1.93674
2010-10-01,4.17096
2010-11-01,3.03676
2010-12-01,4.81024
2011-01-01,3.88535
2011-02-01,3.85118
2011-03-01,6.19225
2011-04-01,5.61974
2011-05-01,3.81200
2011-06-01,0.00000
2011-07-01,3.13993
2011-08-01,3.77940
2011-09-01,2.60303
2011-10-01,0.80998
2011-11-01,2.21537
2011-12-01,0.28522
2012-01-01,3.35939
2012-02-01,2.71964
2012-03-01,2.71349
2012-04-01,2.05334
2012-05-01,-2.95541
2012-06-01,-1.13379
2012-07-01,-0.16281
2012-08-01,7.16883
2012-09-01,5.95274
2012-10-01,3.46532
2012-11-01,-1.95449
2012-12-01,-0.03113
2013-01-01,1.91310
2013-02-01,7.04538
2013-03-01,-3.56917
2013-04-01,-2.36293
2013-05-01,0.20183
2013-06-01,2.38836
2013-07-01,2.02277
2013-08-01,2.57512
2013-09-01,2.02017
2013-10-01,0.80609
2013-11-01,2.10765
2013-12-01,3.25931
2014-01-01,3.00585
2014-02-01,0.94256
2014-03-01,1.40482
2014-04-01,3.03816
2014-05-01,1.56181
2014-06-01,1.07889
2014-07-01,1.22967
2014-08-01,-0.48564
2014-09-01,1.75447
2014-10-01,0.71218
2014-11-01,-1.97089
2014-12-01,-4.03779
2015-01-01,-7.68747
2015-02-01,2.35220
2015-03-01,2.26111
2015-04-01,1.71844
2015-05-01,3.44471
2015-06-01,2.76788
2015-07-01,1.57085
2015-08-01,-0.15649
2015-09-01,-1.08083
2015-10-01,2.32207
2015-11-01,1.77889
2015-12-01,-1.31502
2016-01-01,0.33267
2016-02-01,-2.01760
2016-03-01,1.07479
2016-04-01,4.88245
2016-05-01,2.60924
2016-06-01,2.58858
