DATE,CPIAUCSL
1993-09-01,2.76400
1993-10-01,2.75229
1993-11-01,2.74455
1993-12-01,2.81096
1994-01-01,2.45098
1994-02-01,2.51572
1994-03-01,2.65178
1994-04-01,2.36439
1994-05-01,2.28849
1994-06-01,2.49480
1994-07-01,2.69896
1994-08-01,2.90055
1994-09-01,2.96552
1994-10-01,2.60989
1994-11-01,2.60274
1994-12-01,2.59740
1995-01-01,2.87081
1995-02-01,2.86299
1995-03-01,2.78722
1995-04-01,3.12500
1995-05-01,3.11864
1995-06-01,3.04260
1995-07-01,2.83019
1995-08-01,2.61745
1995-09-01,2.54521
1995-10-01,2.74431
1995-11-01,2.60347
1995-12-01,2.53165
1996-01-01,2.79070
1996-02-01,2.71703
1996-03-01,2.84392
1996-04-01,2.83267
1996-05-01,2.82709
1996-06-01,2.82152
1996-07-01,2.88336
1996-08-01,2.81230
1996-09-01,3.00457
1996-10-01,3.06189
1996-11-01,3.25309
1996-12-01,3.37882
1997-01-01,3.03814
1997-02-01,3.03226
1997-03-01,2.76527
1997-04-01,2.43434
1997-05-01,2.23785
1997-06-01,2.23357
1997-07-01,2.16561
1997-08-01,2.29008
1997-09-01,2.21940
1997-10-01,2.08597
1997-11-01,1.89036
1997-12-01,1.69705
1998-01-01,1.63112
1998-02-01,1.44020
1998-03-01,1.37672
1998-04-01,1.43840
1998-05-01,1.68856
1998-06-01,1.62297
1998-07-01,1.74564
1998-08-01,1.61692
1998-09-01,1.42680
1998-10-01,1.48607
1998-11-01,1.48423
1998-12-01,1.60692
1999-01-01,1.66667
1999-02-01,1.66667
1999-03-01,1.72840
1999-04-01,2.28113
1999-05-01,2.09102
1999-06-01,1.96560
1999-07-01,2.14461
1999-08-01,2.26438
1999-09-01,2.62997
1999-10-01,2.56254
1999-11-01,2.62035
1999-12-01,2.67640
2000-01-01,2.79296
2000-02-01,3.21797
2000-03-01,3.76214
2000-04-01,3.01386
2000-05-01,3.13253
2000-06-01,3.73494
2000-07-01,3.59928
2000-08-01,3.35129
2000-09-01,3.45650
2000-10-01,3.45033
2000-11-01,3.44418
2000-12-01,3.43602
2001-01-01,3.72120
2001-02-01,3.52941
2001-03-01,2.98246
2001-04-01,3.21826
2001-05-01,3.56308
2001-06-01,3.19396
2001-07-01,2.72148
2001-08-01,2.72148
2001-09-01,2.59217
2001-10-01,2.12766
2001-11-01,1.89437
2001-12-01,1.60367
2002-01-01,1.19590
2002-02-01,1.13636
2002-03-01,1.36286
2002-04-01,1.64399
2002-05-01,1.24083
2002-06-01,1.06922
2002-07-01,1.46561
2002-08-01,1.74746
2002-09-01,1.51600
2002-10-01,2.02703
2002-11-01,2.25352
2002-12-01,2.48027
2003-01-01,2.75746
2003-02-01,3.14607
2003-03-01,3.02521
2003-04-01,2.17513
2003-05-01,1.89415
2003-06-01,1.94878
2003-07-01,2.05556
2003-08-01,2.21607
2003-09-01,2.37832
2003-10-01,2.04194
2003-11-01,1.92837
2003-12-01,2.03520
2004-01-01,2.02629
2004-02-01,1.68845
2004-03-01,1.74008
2004-04-01,2.29258
2004-05-01,2.89776
2004-06-01,3.16767
2004-07-01,2.93958
2004-08-01,2.54743
2004-09-01,2.53917
2004-10-01,3.19091
2004-11-01,3.62162
2004-12-01,3.34232
2005-01-01,2.84487
2005-02-01,3.05303
2005-03-01,3.20684
2005-04-01,3.36179
2005-05-01,2.86929
2005-06-01,2.54103
2005-07-01,3.06716
2005-08-01,3.64693
2005-09-01,4.74183
2005-10-01,4.35010
2005-11-01,3.33855
2005-12-01,3.33855
2006-01-01,4.01879
2006-02-01,3.63825
2006-03-01,3.41792
2006-04-01,3.61384
2006-05-01,3.97727
2006-06-01,4.18172
2006-07-01,4.10467
2006-08-01,3.92657
2006-09-01,2.01207
2006-10-01,1.40633
2006-11-01,1.96870
2006-12-01,2.52398
2007-01-01,2.07577
2007-02-01,2.42026
2007-03-01,2.79820
2007-04-01,2.59292
2007-05-01,2.70989
2007-06-01,2.69277
2007-07-01,2.31789
2007-08-01,1.89745
2007-09-01,2.83383
2007-10-01,3.61070
2007-11-01,4.37327
2007-12-01,4.10881
2008-01-01,4.29470
2008-02-01,4.14296
2008-03-01,3.97490
2008-04-01,3.90376
2008-05-01,4.08841
2008-06-01,4.93597
2008-07-01,5.49751
2008-08-01,5.30802
2008-09-01,4.95332
2008-10-01,3.73106
2008-11-01,1.09992
2008-12-01,-0.02223
2009-01-01,-0.11359
2009-02-01,0.00846
2009-03-01,-0.44648
2009-04-01,-0.57632
2009-05-01,-1.01576
2009-06-01,-1.22917
2009-07-01,-1.95876
2009-08-01,-1.48384
2009-09-01,-1.37794
2009-10-01,-0.22397
2009-11-01,1.91459
2009-12-01,2.81412
2010-01-01,2.62111
2010-02-01,2.15134
2010-03-01,2.28617
2010-04-01,2.20677
2010-05-01,2.00355
2010-06-01,1.12156
2010-07-01,1.34078
2010-08-01,1.15018
2010-09-01,1.11831
2010-10-01,1.16670
2010-11-01,1.08454
2010-12-01,1.43779
2011-01-01,1.70078
2011-02-01,2.12490
2011-03-01,2.61924
2011-04-01,3.07723
2011-05-01,3.45897
2011-06-01,3.50232
2011-07-01,3.57988
2011-08-01,3.75500
2011-09-01,3.81262
2011-10-01,3.52227
2011-11-01,3.45143
2011-12-01,3.06207
2012-01-01,3.01690
2012-02-01,2.91981
2012-03-01,2.62188
2012-04-01,2.31734
2012-05-01,1.74195
2012-06-01,1.64586
2012-07-01,1.36649
2012-08-01,1.65321
2012-09-01,1.93736
2012-10-01,2.16318
2012-11-01,1.80879
2012-12-01,1.78195
2013-01-01,1.65935
2013-02-01,2.02647
2013-03-01,1.49370
2013-04-01,1.12087
2013-05-01,1.38727
2013-06-01,1.68529
2013-07-01,1.87066
2013-08-01,1.48144
2013-09-01,1.14942
2013-10-01,0.92551
2013-11-01,1.26774
2013-12-01,1.54580
2014-01-01,1.63831
2014-02-01,1.12272
2014-03-01,1.54275
2014-04-01,2.00081
2014-05-01,2.11648
2014-06-01,2.00510
2014-07-01,1.93771
2014-08-01,1.67804
2014-09-01,1.65552
2014-10-01,1.64757
2014-11-01,1.30268
2014-12-01,0.68853
2015-01-01,-0.20473
2015-02-01,-0.08743
2015-03-01,-0.01611
2015-04-01,-0.12601
2015-05-01,0.03083
2015-06-01,0.17172
2015-07-01,0.20020
2015-08-01,0.22769
2015-09-01,-0.00884
2015-10-01,0.12539
2015-11-01,0.43876
2015-12-01,0.66691
2016-01-01,1.34196
2016-02-01,0.97360
2016-03-01,0.87383
2016-04-01,1.14015
2016-05-01,1.06976
2016-06-01,1.05466
